date,passed,failed,skipped,time,flaky,duration_ms
2026-09-19,0,33,3
2026-09-19,0,33,3
2026-09-20,9,24,3
2026-09-20,25,8,3
2026-09-20,25,8,3
2026-09-20,33,0,3
2026-09-21,33,0,3
2026-09-21,33,0,3
2026-09-22,33,0,3
2026-09-22,33,0,3
2026-09-22,33,0,3
2026-09-23,33,0,3
2026-09-23,33,0,3
2026-09-23,33,0,3
2026-09-23,33,0,3,11:34:38,0,98617
2026-09-23,33,0,3,11:41:19,0,120883
2026-09-23,33,0,3,11:48:01,0,117098
2026-09-23,33,0,3,13:04:38,0,118695
2026-09-23,33,0,3,14:32:42,0,107395
2026-09-23,33,0,3,15:00:54,0,99079
2026-09-23,33,0,3,15:41:28,0,116112
